lambda;mu;m;theta;T
1e-07;1000;3;2.99489e+52,6.54153e+46,1.42885e+41,3.12103e+35,6.81736e+29,1.48916e+24,3.25293e+18,7.1058e+12,2.32836e+07,152.588;0.000333334,0.000333334,0.000333334,0.000333334,0.000333334,0.000333334,0.000333334,0.000333334,0.000500001,0.001
1e-05;1;1;195.759,127.275,82.4007,52.9964,33.7285,21.1026,12.829,7.40721,3.85424,1.52588;2.90058,2.90066,2.90075,2.90083,2.90091,2.901,2.90108,2.90117,2.90125,2.90133
1e-05;1;2;34613.4,11340.1,3714.96,1216.69,398.148,129.955,42.0811,13.2885,3.85424,1.52588;0.743635,0.743641,0.743647,0.743652,0.743658,0.743663,0.743669,0.743674,0.74368,1.48737
1e-05;1;3;578047,126259,27577.9,6023.51,1315.4,286.999,62.3587,13.2885,3.85424,1.52588;0.426486,0.426488,0.42649,0.426491,0.426493,0.426495,0.426497,0.426499,0.639751,1.41926
1e-05;10;1;7.32717e+10,4.80128e+09,3.14618e+08,2.06166e+07,1.35101e+06,88532.7,5801.62,380.098,24.8093,1.52588;0.107012,0.107012,0.107012,0.107012,0.107013,0.107013,0.107013,0.107013,0.107013,0.107013
1e-05;10;2;1.87159e+13,6.13199e+11,2.00908e+10,6.58266e+08,2.15681e+07,706690,23155.3,758.669,24.8093,1.52588;0.0516936,0.0516937,0.0516937,0.0516937,0.0516937,0.0516938,0.0516938,0.0516938,0.0516939,0.103388
1e-05;10;3;3.19771e+14,6.98456e+12,1.52561e+11,3.3324e+09,7.27907e+07,1.59001e+06,34732.2,758.669,24.8093,1.52588;0.0340777,0.0340777,0.0340777,0.0340777,0.0340777,0.0340777,0.0340777,0.0340777,0.0511166,0.10335
1e-05;100;1;6.89215e+19,4.51622e+17,2.95939e+15,1.93926e+13,1.27079e+11,8.32764e+08,5.45727e+06,35763.1,234.36,1.52588;0.010066,0.010066,0.010066,0.010066,0.010066,0.010066,0.010066,0.010066,0.010066,0.010066
1e-05;100;2;1.76435e+22,5.78063e+19,1.89397e+17,6.20549e+14,2.03323e+12,6.66197e+09,2.18286e+07,71524.7,234.36,1.52588;0.00501644,0.00501644,0.00501644,0.00501644,0.00501644,0.00501644,0.00501644,0.00501644,0.00501644,0.0100329
1e-05;100;3;3.01456e+23,6.5845e+20,1.43823e+18,3.14153e+15,6.86214e+12,1.49894e+10,3.27429e+07,71524.7,234.36,1.52588;0.00334063,0.00334063,0.00334063,0.00334063,0.00334063,0.00334063,0.00334063,0.00334063,0.00501095,0.0100328
1e-05;1000;1;6.85147e+28,4.48956e+25,2.94192e+22,1.92781e+19,1.26329e+16,8.27849e+12,5.42506e+09,3.55521e+06,2329.87,1.52588;0.00100066,0.00100066,0.00100066,0.00100066,0.00100066,0.00100066,0.00100066,0.00100066,0.00100066,0.00100066
1e-05;1000;2;1.75398e+31,5.74664e+27,1.88283e+24,6.16899e+20,2.02127e+17,6.62279e+13,2.17002e+10,7.11041e+06,2329.87,1.52588;0.000500164,0.000500164,0.000500164,0.000500164,0.000500164,0.000500164,0.000500164,0.000500164,0.000500164,0.00100033
1e-05;1000;3;2.99683e+32,6.54578e+28,1.42977e+25,3.12305e+21,6.82179e+17,1.49013e+14,3.25504e+10,7.11041e+06,2329.87,1.52588;0.000333406,0.000333406,0.000333406,0.000333406,0.000333406,0.000333406,0.000333406,0.000333406,0.000500109,0.00100033
