algorithm;n;m;time_ms;T_S;eps;sigma_eps
NFDH;1152;500;1.1411;103014;0.261281;5.55112e-17
NFDH;1152;1000;2.17557;235998;0.218501;2.77556e-17
NFDH;1152;1500;2.71797;361941;0.230945;5.55112e-17
FFDH;1152;500;402.11;86627;0.0606423;6.93889e-18
FFDH;1152;1000;1297.41;199499;0.0300503;3.46945e-18
FFDH;1152;1500;2176.59;306738;0.0432019;0
